Driver Ben
Driver Derek
Driver Chase
Driver Diane
Driver Jack
Driver Matthew
Driver Michael
Driver Lindsey
Driver Katie
Driver Tenille
Driver Anna
Driver Carl
Driver Dale
Trip Matthew 07:15 07:45 17.3
Trip Derek 06:12 06:32 21.8
Trip Chase 12:01 13:16 42.0
Trip Diane 07:15 07:45 17.3
Trip Jack 06:12 06:32 21.8
Trip Matthew 12:01 13:16 42.0
Trip Michael 07:15 07:45 17.3
Trip Lindsey 06:12 06:32 21.8
Trip Katie 12:01 13:16 42.0
Trip Tenille 07:15 07:45 17.3
Trip Anna 06:12 06:32 21.8
Trip Carl 12:01 13:16 42.0
Trip Dale 07:15 07:45 17.3



